filename	frame_nb	local_id_bonds	bond_size_in_px	bond_length_in_px	bond_orientation	vx_1_x	vx_1_y	vx_2_x	vx_2_y	sum_px_int_vertices_excluded_ch1	sum_px_int_vertices_excluded_ch2	sum_px_int_vertices_excluded_ch3	sum_px_int_vertices_excluded_12bits	sum_px_int_vertices_included_ch1	sum_px_int_vertices_included_ch2	sum_px_int_vertices_included_ch3	sum_px_int_vertices_included_12bits	first_pixel_x_bonds	first_pixel_y_bonds	cell_id_around_bond1	cell_id_around_bond2	
E14_75I_6_0.tif	9	79	5	5.242640687119285	143.0	22	324	18	327	2965.0	1208.0	168.0	2965.0	5495.0	1934.0	289.0	5495.0	21	324	12	28
E14_75I_6_0.tif	9	80	18	18.656854249492383	13.0	18	327	1	323	21387.0	4108.0	2588.0	21387.0	24346.0	4750.0	2965.0	24346.0	17	326	12	13
E14_75I_6_0.tif	9	81	11	10.828427124746192	90.0	1	323	1	313	12202.0	1734.0	2412.0	12202.0	15819.0	2184.0	2962.0	15819.0	0	322	null	null
E14_75I_6_0.tif	9	82	17	16.414213562373096	94.0	18	327	17	343	14797.0	2977.0	621.0	14797.0	17037.0	3688.0	703.0	17037.0	18	328	28	13
E14_75I_6_0.tif	9	83	17	21.384776310850242	141.0	17	343	1	356	18937.0	2712.0	747.0	18937.0	21354.0	3333.0	898.0	21354.0	16	343	13	14
E14_75I_6_0.tif	9	84	34	33.828427124746185	90.0	1	356	1	323	54672.0	3567.0	11099.0	54672.0	57808.0	4119.0	11545.0	57808.0	0	355	null	null
E14_75I_6_0.tif	9	85	10	12.727922061357859	45.0	17	343	26	352	7423.0	2816.0	384.0	7423.0	10106.0	3632.0	632.0	10106.0	18	344	28	14
E14_75I_6_0.tif	9	86	19	24.62741699796953	132.0	26	352	10	370	29035.0	4735.0	1837.0	29035.0	31833.0	5844.0	2089.0	31833.0	25	353	24	14
E14_75I_6_0.tif	9	87	10	10.242640687119286	6.0	10	370	1	369	7478.0	3048.0	311.0	7478.0	9410.0	4025.0	392.0	9410.0	9	370	14	15
E14_75I_6_0.tif	9	88	14	13.828427124746192	90.0	1	369	1	356	11551.0	2668.0	687.0	11551.0	13761.0	3219.0	835.0	13761.0	0	368	null	null
E14_75I_6_0.tif	9	89	12	12.242640687119286	75.0	10	370	13	381	17284.0	3654.0	651.0	17284.0	19655.0	4914.0	743.0	19655.0	11	371	24	15
E14_75I_6_0.tif	9	90	13	14.071067811865476	157.0	13	381	1	386	7087.0	3616.0	445.0	7087.0	9123.0	4701.0	536.0	9123.0	12	381	16	15
E14_75I_6_0.tif	9	91	18	17.82842712474619	90.0	1	386	1	369	4366.0	2867.0	638.0	4366.0	5963.0	3669.0	718.0	5963.0	0	385	null	null
E14_75I_6_0.tif	9	92	17	20.55634918610405	35.0	13	381	29	392	25245.0	6562.0	1226.0	25245.0	27506.0	7990.0	1393.0	27506.0	14	382	16	24
E14_75I_6_0.tif	9	93	5	4.0	90.0	29	392	29	396	3878.0	1364.0	811.0	3878.0	6313.0	2400.0	1320.0	6313.0	29	393	16	35
